what,kind,bundleId,bundleVersion,description,time
stopped,bundle,org.eclipse.pde.ua.ui,1.0.300.v20130508-1926,"org.eclipse.pde.ua.ui",1380077971978
stopped,bundle,org.eclipse.pde.ui.templates,3.4.600.v20130507-2057,"org.eclipse.pde.ui.templates",1380077971978
stopped,bundle,org.eclipse.pde.ui,3.8.0.v20130515-1659,"org.eclipse.pde.ui",1380077971982
stopped,bundle,org.eclipse.ant.ui,3.5.400.v20130514-1341,"org.eclipse.ant.ui",1380077971983
stopped,bundle,org.eclipse.ant.launching,1.0.300.v20130514-1341,"org.eclipse.ant.launching",1380077971983
stopped,bundle,org.eclipse.compare.win32,1.0.200.v20130514-1224,"org.eclipse.compare.win32",1380077971983
stopped,bundle,org.eclipse.egit.ui,3.0.0.201306101825-r,"org.eclipse.egit.ui",1380077971983
stopped,bundle,org.eclipse.equinox.p2.ui.sdk,1.0.300.v20130503-1750,"org.eclipse.equinox.p2.ui.sdk",1380077971984
stopped,bundle,org.eclipse.jdt.junit,3.7.200.v20130514-0733,"org.eclipse.jdt.junit",1380077971984
stopped,bundle,org.eclipse.jdt.apt.ui,3.3.300.v20120516-0617,"org.eclipse.jdt.apt.ui",1380077971985
stopped,bundle,org.eclipse.jdt.debug.ui,3.6.200.v20130514-0841,"org.eclipse.jdt.debug.ui",1380077971985
stopped,bundle,org.eclipse.jdt.ui,3.9.0.v20130605-1748,"org.eclipse.jdt.ui",1380077971985
stopped,bundle,org.eclipse.wst.dtd.ui,1.0.800.v201301082053,"org.eclipse.wst.dtd.ui",1380077971985
stopped,bundle,org.eclipse.php.server.ui,3.2.0.201309091913,"org.eclipse.php.server.ui",1380077971986
stopped,bundle,org.eclipse.php.debug.ui,3.2.0.201309091913,"org.eclipse.php.debug.ui",1380077971986
stopped,bundle,org.eclipse.php.debug.core,3.2.0.201309091913,"org.eclipse.php.debug.core",1380077971986
stopped,bundle,org.eclipse.php.formatter.core.tests,3.2.0.201309091913,"org.eclipse.php.formatter.core.tests",1380077971988
stopped,bundle,org.eclipse.php.formatter.ui,3.2.0.201309091913,"org.eclipse.php.formatter.ui",1380077971988
stopped,bundle,org.eclipse.php.formatter.core,3.2.0.201309091913,"org.eclipse.php.formatter.core",1380077971988
stopped,bundle,org.eclipse.php.ui.tests,3.2.0.201309091913,"org.eclipse.php.ui.tests",1380077971990
stopped,bundle,org.eclipse.php.ui,3.2.0.201309091913,"org.eclipse.php.ui",1380077971990
stopped,bundle,org.eclipse.wst.jsdt.web.ui,1.0.600.v201302131536,"org.eclipse.wst.jsdt.web.ui",1380077971990
stopped,bundle,org.eclipse.wst.web.ui,1.1.600.v201109220400,"org.eclipse.wst.web.ui",1380077971991
stopped,bundle,org.eclipse.wst.html.ui,1.0.800.v201306071601,"org.eclipse.wst.html.ui",1380077971991
stopped,bundle,org.eclipse.wst.css.ui,1.0.800.v201306071601,"org.eclipse.wst.css.ui",1380077971991
stopped,bundle,org.eclipse.wst.xsl.debug.ui,1.0.302.v201304241031,"org.eclipse.wst.xsl.debug.ui",1380077971991
stopped,bundle,org.eclipse.wst.xml.ui,1.1.400.v201302260115,"org.eclipse.wst.xml.ui",1380077971991
stopped,bundle,org.eclipse.wst.common.ui,1.1.500.v200911190730,"org.eclipse.wst.common.ui",1380077971991
stopped,bundle,org.eclipse.dltk.testing,5.0.0.201306060709,"org.eclipse.dltk.testing",1380077971992
stopped,bundle,org.eclipse.dltk.debug.ui,5.0.0.201306060709,"org.eclipse.dltk.debug.ui",1380077971992
stopped,bundle,org.eclipse.dltk.formatter,5.0.0.201306060709,"org.eclipse.dltk.formatter",1380077971994
stopped,bundle,org.eclipse.dltk.validators.externalchecker,5.0.0.201306060709,"org.eclipse.dltk.validators.externalchecker",1380077971994
stopped,bundle,org.eclipse.dltk.validators.ui,5.0.0.201306060709,"org.eclipse.dltk.validators.ui",1380077971994
stopped,bundle,org.eclipse.dltk.rse.ui,5.0.0.201306060709,"org.eclipse.dltk.rse.ui",1380077971994
stopped,bundle,org.eclipse.dltk.ui,5.0.0.201306060709,"org.eclipse.dltk.ui",1380077971994
stopped,bundle,org.eclipse.rse.importexport,1.2.300.201205241511,"org.eclipse.rse.importexport",1380077971995
stopped,bundle,org.eclipse.rse.subsystems.shells.telnet,1.2.300.201205062159,"org.eclipse.rse.subsystems.shells.telnet",1380077971995
stopped,bundle,org.eclipse.rse.shells.ui,3.0.500.201305031537,"org.eclipse.rse.shells.ui",1380077971995
stopped,bundle,org.eclipse.rse.files.ui,3.2.200.201305031537,"org.eclipse.rse.files.ui",1380077971996
stopped,bundle,org.eclipse.rse.processes.ui,3.0.400.201205062159,"org.eclipse.rse.processes.ui",1380077971996
stopped,bundle,org.eclipse.wst.jsdt.debug.ui,1.0.300.v201209252144,"org.eclipse.wst.jsdt.debug.ui",1380077971996
stopped,bundle,org.eclipse.wst.jsdt.support.firefox,1.0.402.v201208171701,"org.eclipse.wst.jsdt.support.firefox",1380077971996
stopped,bundle,org.eclipse.wst.jsdt.ui,1.1.202.v201208171701,"org.eclipse.wst.jsdt.ui",1380077971996
stopped,bundle,org.eclipse.php.core.performance.tests,3.2.0.201309091913,"org.eclipse.php.core.performance.tests",1380077971998
stopped,bundle,org.eclipse.php.core.tests,3.2.0.201309091913,"org.eclipse.php.core.tests",1380077971998
stopped,bundle,org.eclipse.wst.sse.ui,1.3.200.v201303281757,"org.eclipse.wst.sse.ui",1380077971998
stopped,bundle,org.eclipse.search,3.9.0.v20130312-1625,"org.eclipse.search",1380077971998
stopped,bundle,org.eclipse.ui.navigator.resources,3.4.500.v20130516-1049,"org.eclipse.ui.navigator.resources",1380077971999
stopped,bundle,org.eclipse.ltk.ui.refactoring,3.7.100.v20130605-1748,"org.eclipse.ltk.ui.refactoring",1380077971999
stopped,bundle,org.eclipse.team.cvs.ui,3.3.600.v20130514-1224,"org.eclipse.team.cvs.ui",1380077971999
stopped,bundle,org.eclipse.team.ui,3.7.0.v20130514-1224,"org.eclipse.team.ui",1380077971999
stopped,bundle,org.eclipse.compare,3.5.400.v20130514-1224,"org.eclipse.compare",1380077972000
stopped,bundle,org.eclipse.egit.core,3.0.0.201306101825-r,"org.eclipse.egit.core",1380077972000
stopped,bundle,org.eclipse.jdt.apt.pluggable.core,1.0.400.v20120516-0617,"org.eclipse.jdt.apt.pluggable.core",1380077972000
stopped,bundle,org.eclipse.jdt.apt.core,3.3.500.v20120516-0617,"org.eclipse.jdt.apt.core",1380077972000
stopped,bundle,org.eclipse.jdt.core.manipulation,1.5.0.v20130605-1748,"org.eclipse.jdt.core.manipulation",1380077972000
stopped,bundle,org.eclipse.pde.launching,3.6.100.v20130507-2111,"org.eclipse.pde.launching",1380077972001
stopped,bundle,org.eclipse.jdt.junit.core,3.7.200.v20130514-1154,"org.eclipse.jdt.junit.core",1380077972001
stopped,bundle,org.eclipse.pde.api.tools,1.0.500.v20130529-1948,"org.eclipse.pde.api.tools",1380077972001
stopped,bundle,org.eclipse.pde.ds.core,1.0.300.v20130514-1232,"org.eclipse.pde.ds.core",1380077972002
stopped,bundle,org.eclipse.pde.ua.core,1.0.300.v20130402-1757,"org.eclipse.pde.ua.core",1380077972002
stopped,bundle,org.eclipse.pde.core,3.9.0.v20130515-1659,"org.eclipse.pde.core",1380077972002
stopped,bundle,org.eclipse.wst.xsl.jaxp.launching,1.0.300.v201304102231,"org.eclipse.wst.xsl.jaxp.launching",1380077972002
stopped,bundle,org.eclipse.jdt.launching,3.7.0.v20130515-1451,"org.eclipse.jdt.launching",1380077972002
stopped,bundle,org.eclipse.jdt.debug,3.8.0.v20130514-0841,"org.eclipse.jdt.debug",1380077972003
stopped,bundle,org.eclipse.jdt.core,3.9.0.v20130604-1421,"org.eclipse.jdt.core",1380077972003
stopped,bundle,org.eclipse.team.cvs.ssh2,3.2.300.v20111007-1310,"org.eclipse.team.cvs.ssh2",1380077972003
stopped,bundle,org.eclipse.team.cvs.core,3.3.500.v20130515-2011,"org.eclipse.team.cvs.core",1380077972003
stopped,bundle,org.eclipse.wst.jsdt.debug.core,3.1.1.v201208171701,"org.eclipse.wst.jsdt.debug.core",1380077972004
stopped,bundle,org.eclipse.wst.jsdt.manipulation,1.0.400.v201204261600,"org.eclipse.wst.jsdt.manipulation",1380077972004
stopped,bundle,org.eclipse.wst.jsdt.web.core,1.0.600.v201301301822,"org.eclipse.wst.jsdt.web.core",1380077972004
stopped,bundle,org.eclipse.wst.jsdt.core,1.1.202.v201208171701,"org.eclipse.wst.jsdt.core",1380077972004
stopped,bundle,org.eclipse.team.core,3.7.0.v20130514-1224,"org.eclipse.team.core",1380077972005
stopped,bundle,org.eclipse.ui.externaltools,3.2.200.v20130508-2007,"org.eclipse.ui.externaltools",1380077972006
stopped,bundle,org.eclipse.dltk.console.ui,5.0.0.201306060709,"org.eclipse.dltk.console.ui",1380077972006
stopped,bundle,org.eclipse.wst.server.ui,1.4.101.v20130403_1358,"org.eclipse.wst.server.ui",1380077972006
stopped,bundle,org.eclipse.debug.ui,3.9.0.v20130516-1713,"org.eclipse.debug.ui",1380077972006
stopped,bundle,org.eclipse.rse.subsystems.files.ftp,2.2.0.201305152119,"org.eclipse.rse.subsystems.files.ftp",1380077972007
stopped,bundle,org.eclipse.ui.console,3.5.200.v20130514-0954,"org.eclipse.ui.console",1380077972007
stopped,bundle,net.sourceforge.vrapper.eclipse,0.34.1,"net.sourceforge.vrapper.eclipse",1380077972012
stopped,bundle,org.eclipse.mylyn.wikitext.ui,1.8.0.v20130612-0100,"org.eclipse.mylyn.wikitext.ui",1380077972013
stopped,bundle,org.eclipse.dltk.rse.core,5.0.0.201306060709,"org.eclipse.dltk.rse.core",1380077972013
stopped,bundle,org.eclipse.rse.efs,2.1.401.201301141950,"org.eclipse.rse.efs",1380077972013
stopped,bundle,org.eclipse.ui.editors,3.8.100.v20130513-1637,"org.eclipse.ui.editors",1380077972013
stopped,bundle,org.eclipse.rse.subsystems.files.dstore,2.1.300.201205241511,"org.eclipse.rse.subsystems.files.dstore",1380077972014
stopped,bundle,org.eclipse.rse.subsystems.processes.dstore,2.1.400.201205062159,"org.eclipse.rse.subsystems.processes.dstore",1380077972014
stopped,bundle,org.eclipse.rse.subsystems.shells.dstore,2.1.400.201205062159,"org.eclipse.rse.subsystems.shells.dstore",1380077972014
stopped,bundle,org.eclipse.rse.connectorservice.dstore,3.1.301.201209211856,"org.eclipse.rse.connectorservice.dstore",1380077972014
stopped,bundle,org.eclipse.rse.subsystems.files.local,2.1.300.201205062159,"org.eclipse.rse.subsystems.files.local",1380077972015
stopped,bundle,org.eclipse.rse.subsystems.processes.local,2.1.400.201205062159,"org.eclipse.rse.subsystems.processes.local",1380077972015
